Threshold, true_predicted/total=recall, predicted_known/total_predicted, true_predicted/total_predicted=precision, F1
0.0,2406/2543=0.946,41825/729856,2406/729856=0.0033,0.0066
0.1,1961/2543=0.771,34317/424366,1961/424366=0.0046,0.0092
0.2,1435/2543=0.564,25730/241647,1435/241647=0.0059,0.0118
0.3,894/2543=0.352,19481/110815,894/110815=0.0081,0.0158
0.4,330/2543=0.130,8208/47989,330/47989=0.0069,0.0131
0.5,259/2543=0.102,3555/15729,259/15729=0.0165,0.0283
0.6,8/2543=0.003,740/7630,8/7630=0.0010,0.0016
0.7,2/2543=0.001,571/5065,2/5065=0.0004,0.0005
0.8,0/2543=0.000,554/2567,0/2567=0.0000,0.0000
0.9,0/2543=0.000,520/2236,0/2236=0.0000,0.0000
