Threshold, true_predicted/total=recall, predicted_known/total_predicted, true_predicted/total_predicted=precision, F1
0.0,2406/2543=0.946,41825/729856,2406/729856=0.0033,0.0066
0.1,1965/2543=0.773,34311/422428,1965/422428=0.0047,0.0092
0.2,1479/2543=0.582,25755/240595,1479/240595=0.0061,0.0122
0.3,996/2543=0.392,19411/109468,996/109468=0.0091,0.0178
0.4,330/2543=0.130,8161/46859,330/46859=0.0070,0.0134
0.5,122/2543=0.048,3748/15655,122/15655=0.0078,0.0134
0.6,69/2543=0.027,748/7710,69/7710=0.0089,0.0135
0.7,2/2543=0.001,563/4283,2/4283=0.0005,0.0006
0.8,0/2543=0.000,554/2546,0/2546=0.0000,0.0000
0.9,0/2543=0.000,521/2236,0/2236=0.0000,0.0000
